Publication,Corallivore_Weffect,Corallivore_family,Corallivore_genus,Corallivore_phylum,Treatment,Treatment_simple,Treat_response,Treat_n,Control_response,Control_n,Manip_notes,Disease_specific,Disease_general,Notes,Coral,Region,,,
"Williams et al. 2010 (PLoS One, Modeling)",Parrotfish,Scaridae,Parrotfish,Chordata,NA,NA,NA,NA,NA,NA,Observational,Montipora white syndrome,White,,,,,,
"Williams et al. 2010 (PLoS One, Modeling)",Chaetodontidae,Chaetodontidae,Chaetodontidae,Chordata,NA,NA,NA,NA,NA,NA,Observational,Trematodiasis,Trematodiasis,,,,,,
"Williams et al. 2010 (PLoS One, Modeling)",Parrotfish,Scaridae,Parrotfish,Chordata,NA,NA,NA,NA,NA,NA,Observational,Growth anomalies,GA,,Porites and Montipora spp.,Hawai'i,,,
Onton et al. 2011,Drupella spp.,Muricidae,Drupella,Mollusca,NA,NA,NA,NA,NA,NA,Observational,Disease generally,General,,,,,,
Onton et al. 2011,Drupella spp.,Muricidae,Drupella,Mollusca,NA,NA,NA,NA,NA,NA,Observational,Skeletal eroding band,SEB,,,,,,
Onton et al. 2011,Drupella spp.,Muricidae,Drupella,Mollusca,NA,NA,NA,NA,NA,NA,Observational,Black-band disease,BBD,,,,,,
Onton et al. 2011,Drupella spp.,Muricidae,Drupella,Mollusca,NA,NA,NA,NA,NA,NA,Observational,Cyanobacterial bands (OtCy),Cyanobacterial,,All corals,"Ningaloo Reef, Australia",,,
McIlwain and Jones 1997,Labrichthys unilineatus,Labridae,Labrichthys,Chordata,NA,NA,NA,NA,NA,NA,Feeding on disease fronts,Disease generally,General,,All corals,"Lizard Island, Australia",,,
Aeby 1991 (Pacific Science),Chaetodon multicinctus,Chaetodontidae,Chaetodon,Chordata,NA,NA,NA,NA,NA,NA,"Didn't include counts of corals that were infected--just mean number of cysts, which isn't the same",Trematodiasis,Trematodiasis,"Very, very similar to Aeby 1992, but with different numbers, which makes me think they are different? Maybe the experiment was repeated?",Porites compressa,"Kaneohe Bay, Oahu, Hawai'i",Chordata,Negatively related; Direct lesion feeding,Trematodiasis
Miller and Williams 2007,Hermodice carunculata,Amphinomidae,Hermodice,Annelida,NA,NA,NA,NA,NA,NA,Observational,"White disease', likely white plague",White,Didn't include as a correlation because didn't actually analyze it,All corals,"Navassa Island, Caribbean",,,
